Entity,Code,Year,Daily caloric intake per person that comes from animal protein,Daily caloric intake per person that comes from vegetal protein,Daily caloric intake per person from fat,Daily caloric intake per person from carbohydrates
Southern Asia (FAO),0,2009,53.64,183.88,476.37,17.280.701
Southern Europe (FAO),0,2009,240.68,186.8,1257.21,1675.31
Spain,ESP,2009,26.780.746,15.855.307,12.813.314,14.548.833
Sri Lanka,LKA,2009,56.206.062,16.994.589,41.297.574,18.231.564
Sudan (former),0,2009,12.089.556,17.689.183,6.434.637,14.214.697
Suriname,SUR,2009,9.868.518,13.589.433,6.626.582,17.374.485
Sweden,SWE,2009,28.390.186,14.717.574,1.147.028,15.508.204
Switzerland,CHE,2009,24.002.652,1.389.543,14.118.677,16.780.033
Taiwan,TWN,2009,1.730.693,18.060.103,11.570.404,14.319.082
Tajikistan,TJK,2009,4.506.926,16.312.679,51.761.847,13.651.199
Tanzania,TZA,2009,3.820.168,18.068.362,36.776.068,15.309.662
Thailand,THA,2009,8.913.341,13.835.225,50.515.775,19.394.434
Togo,TGO,2009,27.769.161,18.224.713,41.550.043,16.213.655
Trinidad and Tobago,TTO,2009,14.151.561,13.974.052,68.678.687,17.144.084
Tunisia,TUN,2009,100.192.955,273.133,7.609.499,21.161.082
Turkey,TUR,2009,11.094.657,28.644.098,99.869.666,21.755.508
Turkmenistan,TKM,2009,15.084.149,20.554.266,7.209.081,16.846.753
Uganda,UGA,2009,53.775.032,17.513.503,43.924.994,16.272.179
Ukraine,UKR,2009,1.718.977,18.085.576,86.187.946,19.872.646
United Arab Emirates,ARE,2009,1.728.875,22.804.465,7.732.139,18.869.209
United Kingdom,GBR,2009,22.924.829,17.714.098,12.515.907,17.375.541
United States,USA,2009,2.856.244,15.938.467,14.378.026,17.737.664
Upper-middle-income countries,0,2009,14.274.747,20.337.752,7.908.074,18.453.689
Uruguay,URY,2009,1.992.995,15.388.542,91.954.474,17.183.705
Uzbekistan,UZB,2009,10.323.976,20.002.216,57.363.416,16.564.846
Vanuatu,VUT,2009,108.821.526,15.461.678,88.077.783,1.615.834
Venezuela,VEN,2009,1.632.167,15.558.862,79.976.794,17.651.644
Vietnam,VNM,2009,119.241.394,18.137.093,63.066.785,17.590.962
Western Africa (FAO),0,2009,48.12,211,513.45,1895.43
Western Asia (FAO),0,2009,111.64,233.48,800.01,1931.87
Western Europe (FAO),0,2009,263.88,157.84,1362.78,1726.46
World,OWID_WRL,2009,12.062.695,18.552.022,7.065.584,1.728.375
Yemen,YEM,2009,4.962.286,16.626.064,36.226.352,1.420.126
Zambia,ZMB,2009,36.593.075,1.556.939,3.454.579,12.707.234
Zimbabwe,ZWE,2009,49.442.448,16.483.528,5.404.922,14.276.508
Afghanistan,AFG,2010,49.839.996,21.319.998,34.253.998,16.024.197
Africa,0,2010,6.159.036,20.573.149,4.833.749,18.200.804
Africa (FAO),0,2010,61.6,205.72,48.338.998,1820.29
Albania,ALB,2010,22.959.984,20.659.985,9.455.393,18.742.585
Algeria,DZA,2010,10.731.998,25.647.995,7.991.998,20.799.995
Americas (FAO),0,2010,235.8,161.72,1063.53,1809.95
Angola,AGO,2010,6.475.999,12.755.996,4.865.399,17.441.394
Antigua and Barbuda,ATG,2010,27.925.485,10.389.575,8.293.364,11.149.697
Argentina,ARG,2010,25.083.998,16.211.998,9.212.399,17.437.998
Armenia,ARM,2010,17.107.965,21.923.956,84.284.827,19.148.263
Asia,0,2010,11.045.536,21.488.043,58.656.445,17.876.493
Asia (FAO),0,2010,110.6,215.12,587.34,1788.94
Australia,AUS,2010,33.636.005,15.760.004,13.851.002,16.549.403
Austria,AUT,2010,27.816.003,16.468.001,15.955.201,17.476.404
Azerbaijan,AZE,2010,116.439.964,24.571.992,56.915.985,20.126.792
Bahamas,BHS,2010,27.779.477,13.187.753,8.770.335,12.882.458
Bangladesh,BGD,2010,41.28,185.56,24.731.999,1913.84
Barbados,BRB,2010,22.443.428,18.591.525,85.875.806,18.178.136
Belarus,BLR,2010,22.928.009,17.568.005,10.883.704,16.066.707
Belgium,BEL,2010,24.012.004,16.004.002,14.857.203,18.421.201
Belize,BLZ,2010,12.775.801,18.227.716,67.201.953,17.829.023
Benin,BEN,2010,6.503.996,20.435.986,44.909.973,18.825.386
Bolivia,BOL,2010,14.503.989,13.811.989,49.139.966,14.634.388
Bosnia and Herzegovina,BIH,2010,1.293.999,2.605.998,70.568.945,20.023.083
Botswana,BWA,2010,12.515.964,15.479.955,6.554.681,14.825.657
Brazil,BRA,2010,22.427.998,17.727.998,99.881.995,18.576.198
Bulgaria,BGR,2010,17.539.998,15.691.998,85.139.984,15.352.799
Burkina Faso,BFA,2010,49.479.965,2.598.398,5.312.696,17.644.089
Burundi,BDI,2010,10.119.998,13.455.997,13.238.997,12.259.298
Cambodia,KHM,2010,7.667.998,17.399.995,29.501.993,19.993.394
Cameroon,CMR,2010,55.759.983,23.927.994,56.609.985,19.128.595
Canada,CAN,2010,25.339.995,19.027.997,13.429.797,17.743.396
Cape Verde,CPV,2010,11.779.797,18.043.689,62.341.925,16.663.413
Caribbean (FAO),0,2010,116.12,169.12,644.13,17.786.702
Central African Republic,CAF,2010,7.600.006,13.424.011,5.666.405,12.061.208
Central America (FAO),0,2010,176.2,166.24,781.74,18.838.201
Central Asia (FAO),0,2010,151.28,201.04,807.84,17.038.398
Chad,TCD,2010,9.327.997,22.139.993,62.450.977,14.038.096
Chile,CHL,2010,19.447.993,18.423.994,67.517.975,18.511.394
China,CHN,2010,171.64,264.08,727.29,1884.95
China (FAO),0,2010,173.12,262.08,736.29,1875.51
Colombia,COL,2010,14.616.002,11.984.001,7.503.301,17.826.702
Comoros,COM,2010,7.219.868,1.696.769,5.702.296,15.878.109
Congo,COG,2010,6.203.996,10.515.993,38.762.973,14.301.691
Costa Rica,CRI,2010,167.48,142.56,835.92,1692.04
Cote d'Ivoire,CIV,2010,48.359.997,18.195.999,45.998.996,1936.73
Croatia,HRV,2010,19.460.002,146.44,9.239.401,16.850.198
Cuba,CUB,2010,135.44,220.44,58.139.996,23.077.202
Cyprus,CYP,2010,22.367.938,18.971.948,9.950.373,15.975.557
Czechia,CZE,2010,244.92,153.76,12.321.901,16.351.299
Democratic Republic of Congo,COD,2010,14.24,111,232.74,1873.02
Denmark,DNK,2010,275.6,166.36,1158.39,18.086.898
Djibouti,DJI,2010,50.359.673,2.159.186,48.905.682,16.976.489
Dominica,DMA,2010,22.611.777,15.418.394,83.669.574,17.669.175
Dominican Republic,DOM,2010,12.547.993,123.399.925,8.594.094,1.494.709
East Timor,TLS,2010,40.959.923,1.669.597,41.696.927,15.591.069
Eastern Africa (FAO),0,2010,45.24,193.76,372.42,1605.58
Eastern Asia (FAO),0,2010,173.64,251.6,738.54,1843.26
Eastern Europe (FAO),0,2010,223.52,187.76,972.36,18.584.001
Ecuador,ECU,2010,1.655.201,12.040.007,85.815.045,14.649.309
Egypt,EGY,2010,101.439.995,28.255.997,524.97,23.820.696
El Salvador,SLV,2010,11.387.983,17.715.974,5.332.492,17.837.073
Estonia,EST,2010,22.908.087,1.837.607,8.347.532,19.874.175
Eswatini,SWZ,2010,738.796,1.303.193,43.469.763,15.300.518
Ethiopia,ETH,2010,34.919.994,26.015.997,28.880.997,16.291.099
Europe,0,2010,25.603.983,17.787.735,11.645.886,17.700.966
Europe (FAO),0,2010,256.28,177.96,1165.59,17.711.702
European Union (27),0,2010,27.461.734,17.077.072,12.838.269,17.117.334
European Union (27) (FAO),0,2010,274.6,170.76,1283.85,17.117.499
Fiji,FJI,2010,10.759.928,16.375.891,7.091.953,17.124.287
Finland,FIN,2010,2.911.195,1.688.397,11.125.781,15.914.573
France,FRA,2010,317.12,164.48,13.890.599,16.863.403
French Polynesia,PYF,2010,27.231.522,14.779.741,10.566.714,13.901.655
Gabon,GAB,2010,17.203.929,1.717.193,5.066.979,18.515.325
Gambia,GMB,2010,7.263.985,18.179.964,6.009.287,18.086.265
Georgia,GEO,2010,13.151.987,19.495.981,6.497.993,1.832.718
Germany,DEU,2010,27.876.004,15.928.001,13.319.102,1826.05
Ghana,GHA,2010,55.399.998,19.675.998,44.126.996,22.305.698
Greece,GRC,2010,2.702.799,19.199.994,14.282.095,16.405.095
Grenada,GRD,2010,16.697.365,15.029.628,6.586.061,1.387.751
Guatemala,GTM,2010,95.759.964,16.331.995,57.608.984,16.388.293
Guinea,GIN,2010,4.312.001,16.316.005,58.401.013,16.627.103
Guinea-Bissau,GNB,2010,40.799.843,14.675.943,5.319.879,1.546.444
Guyana,GUY,2010,1.492.786,18.835.823,46.286.566,1.809.473
Haiti,HTI,2010,3.971.999,16.015.996,45.125.986,14.988.594
High-income countries,0,2010,26.768.018,16.950.702,12.235.547,1.727.822
Honduras,HND,2010,8.895.993,1.409.999,7.073.994,16.366.388
Hong Kong,HKG,2010,36.804.016,16.948.007,11.474.104,14.291.106
Hungary,HUN,2010,19.299.997,14.463.997,12.133.798,14.899.797
Iceland,ISL,2010,3.715.013,14.539.268,12.316.781,15.332.627
India,IND,2010,45.88,195.96,44.055.002,1679.61
Indonesia,IDN,2010,67.76,176.2,406.35,19.486.499
Iran,IRN,2010,10.907.999,23.823.996,59.858.997,19.980.897
Iraq,IRQ,2010,4.895.862,17.751.358,5.467.703,14.533.967
Ireland,IRL,2010,2.704.005,18.420.036,12.219.324,19.075.138
Israel,ISR,2010,28.948.004,21.816.003,13.487.401,17.516.201
Italy,ITA,2010,286.16,19.971.999,1464.57,17.245.098
Jamaica,JAM,2010,17.911.972,16.103.975,66.059.906,17.612.373
Japan,JPN,2010,195,167.48,778.41,15.141.501
Jordan,JOR,2010,12.207.995,1.963.999,82.817.957,16.983.394
Kazakhstan,KAZ,2010,22.912.001,16.020.001,1170.72,15.619.602
Kenya,KEN,2010,71.600.006,16.000.002,48.762.003,14.627.803
Kiribati,KIR,2010,1.461.851,16.254.344,10.968.983,15.530.718
Kuwait,KWT,2010,25.951.965,22.179.971,10.770.286,19.896.475
Kyrgyzstan,KGZ,2010,1.528.797,19.731.961,6.358.487,16.889.467
Land Locked Developing Countries (FAO),0,2010,74.04,215.12,489.69,16.501.101
Laos,LAO,2010,6.395.995,19.031.985,2.827.798,18.139.385
Latvia,LVA,2010,25.335.916,16.739.944,10.999.763,16.222.546
Least Developed Countries (FAO),0,2010,49.88,191.12,374.31,1732.69
Lebanon,LBN,2010,13.128.001,20.312.003,10.320.302,17.235.702
Lesotho,LSO,2010,52.559.948,2.081.598,27.368.973,19.635.881
Liberia,LBR,2010,31.920.015,12.124.006,5.149.802,14.648.607
Libya,LBY,2010,12.819.998,21.299.997,8.943.299,1852.51
Lithuania,LTU,2010,2.645.199,18.623.994,90.647.974,18.297.594
Low Income Food Deficit Countries (FAO),0,2010,51.92,195.76,434.25,16.750.701
Low-income countries,0,2010,4.172.323,20.048.207,3.807.724,16.917.428
Lower-middle-income countries,0,2010,6.764.024,19.641.968,486.343,17.505.071
Luxembourg,LUX,2010,2.942.371,15.883.844,12.131.881,18.027.023
Macao,MAC,2010,27.467.654,15.335.808,11.813.251,1.350.643
Madagascar,MDG,2010,31.759.998,14.467.998,23.111.998,17.294.401
Malawi,MWI,2010,2.531.999,21.671.991,30.779.987,20.251.194
Malaysia,MYS,2010,20.440.001,15.620.001,76.068.005,17.057.202
Maldives,MDV,2010,29.619.266,16.639.586,5.162.272,1616.12
Mali,MLI,2010,94.199.974,23.727.995,5.352.299,18.842.896
Malta,MLT,2010,24.891.524,18.739.641,11.300.184,19.046.034
Mauritania,MRT,2010,13.075.992,19.711.987,6.792.296,18.238.887
Mauritius,MUS,2010,16.363.783,20.079.733,8.063.893,18.571.351
Mexico,MEX,2010,202.24,169.64,840.42,19.647.001
Micronesia (FAO),0,2010,146.2,162.56,1097.01,1553.23
Middle Africa (FAO),0,2010,42.36,144.56,383.67,17.744.099
Moldova,MDA,2010,15.200.623,13.849.226,67.819.556,13.297.175
Mongolia,MNG,2010,18.915.952,14.735.962,8.119.779,12.904.966
Montenegro,MNE,2010,2.589.567,19.231.757,10.726.964,18.439.865
Morocco,MAR,2010,10.532.001,27.696.002,6.229.801,2261.78
Mozambique,MOZ,2010,23.919.989,15.971.992,34.478.986,1.828.529
Myanmar,MMR,2010,144.84,202,632.25,1689.91
Namibia,NAM,2010,10.243.976,14.999.965,5.004.888,14.640.664
Nepal,NPL,2010,45.799.995,22.099.998,48.149.997,17.816.998
Net Food Importing Developing Countries (FAO),0,2010,71.08,192.44,466.92,17.515.599
Netherlands,NLD,2010,30.411.996,14.015.999,11.292.299,16.494.901
New Caledonia,NCL,2010,2.296.756,14.183.728,10.584.697,13.499.641
New Zealand,NZL,2010,22.459.975,1.624.398,10.382.388,1.717.718
Nicaragua,NIC,2010,7.975.992,16.495.984,50.930.948,17.339.684
Niger,NER,2010,43.999.985,3.161.999,49.499.982,16.857.993
Nigeria,NGA,2010,38.639.996,21.755.997,49.580.994,1819.99
North America,0,2010,26.111.624,16.121.497,11.961.819,18.216.857
North Korea,PRK,2010,44.000.008,19.608.003,32.067.004,15.182.102
North Macedonia,MKD,2010,14.076.013,18.732.019,941.941,17.059.817
Northern Africa (FAO),0,2010,105,272.92,634.05,2255.03
Northern America (FAO),0,2010,314.8,158.12,1441.71,1798.37
Northern Europe (FAO),0,2010,262.84,175.56,1164.96,1717.64
Norway,NOR,2010,28.591.962,24.459.967,12.407.383,17.957.375
Oceania,0,2010,270.788,14.868.077,11.379.526,15.793.479
Oceania (FAO),0,2010,270.8,148.68,1137.96,1579.56
Oman,OMN,2010,19.803.964,17.895.969,7.741.786,20.248.167
Pakistan,PAK,2010,93.6,165.76,639.54,14.741.399
Panama,PAN,2010,1.701.199,14.387.993,75.806.964,16.169.691
Papua New Guinea,PNG,2010,14.956.001,11.080.002,58.491.003,12.787.302
Paraguay,PRY,2010,11.443.984,14.907.979,91.583.875,18.845.972
Peru,PER,2010,126.279.976,16.907.997,4.780.799,18.065.598
Philippines,PHL,2010,118.48,154.36,45.044.998,17.307.101
Poland,POL,2010,24.223.997,19.883.998,1062.45,18.664.696
Portugal,PRT,2010,30.827.997,17.987.999,12.457.798,1777.06
Romania,ROU,2010,23.111.998,19.803.998,10.761.299,1868.71
Russia,RUS,2010,233.68,193.2,931.86,19.382.601
Rwanda,RWA,2010,28.759.995,21.203.996,25.811.996,16.230.798
Saint Kitts and Nevis,KNA,2010,24.465.033,13.475.755,810.764,14.322.239
Saint Lucia,LCA,2010,2.360.662,15.067.117,6.935.894,15.135.616
Saint Vincent and the Grenadines,VCT,2010,23.948.932,17.221.794,7.746.208,17.392.971
Samoa,WSM,2010,24.142.015,1.435.482,10.972.798,13.925.155
Sao Tome and Principe,STP,2010,7.531.421,15.354.819,6.034.037,1.508.554
Saudi Arabia,SAU,2010,156.08,187.24,75.222.003,1812.46
Senegal,SEN,2010,7.259.995,1.806.399,68.417.957,15.385.791
Serbia,SRB,2010,19.704.002,23.528.003,8.194.502,19.672.302
Seychelles,SYC,2010,17.493.352,2.053.689,55.998.517,19.722.714
Sierra Leone,SLE,2010,55.080.013,16.240.002,5.051.701,16.533.503
Slovakia,SVK,2010,16.927.974,14.611.978,10.347.284,1.467.908
Slovenia,SVN,2010,26.171.948,17.451.967,11.124.879,16.722.667
Small Island Developing States (FAO),0,2010,120.76,160.84,63.585.004,16.845.499
Solomon Islands,SLB,2010,6.879.848,17.095.622,46.519.965,17.259.917
South Africa,ZAF,2010,14.267.998,16.679.999,78.218.994,17.733.298
South America,0,2010,201.117,16.243.236,8.820.545,17.937.354
South America (FAO),0,2010,201.12,162.44,882.09,17.943.499
South Korea,KOR,2010,19.616.002,21.016.002,90.567.004,2015.01
South-eastern Asia (FAO),0,2010,100.92,174.64,461.25,1888.19
Southern Africa (FAO),0,2010,136.28,166.52,743.76,1754.44
Southern Asia (FAO),0,2010,53.88,194.04,451.17,1693.87
Southern Europe (FAO),0,2010,272.64,184.76,1307.16,16.594.398
Spain,ESP,2010,28.867.996,15.283.998,13.079.698,14.505.098
Sri Lanka,LKA,2010,63.120.014,18.576.004,34.479.007,18.953.704
Suriname,SUR,2010,13.275.879,15.151.862,70.172.363,17.000.145
Sweden,SWE,2010,30.540.027,15.020.013,1.199.791,15.496.116
Switzerland,CHE,2010,26.243.988,13.227.994,13.501.793,16.810.991
Syria,SYR,2010,8.248.001,23.728.003,9.380.702,18.511.702
Taiwan,TWN,2010,19.695.996,17.459.996,11.202.297,14.692.096
Tajikistan,TJK,2010,5.731.996,18.603.987,5.435.996,14.770.391
Tanzania,TZA,2010,40.2,178.52,40.761.002,1602.63
Thailand,THA,2010,102.880.005,15.560.002,47.151.004,20.250.103
Togo,TGO,2010,37.879.932,17.411.967,50.624.908,1.695.747
Trinidad and Tobago,TTO,2010,19.152.042,16.888.037,81.837.177,17.332.338
Tunisia,TUN,2010,111.439.964,2.734.399,8.426.697,20.304.495
Turkey,TUR,2010,128.52,281.16,1031.4,22.098.801
Turkmenistan,TKM,2010,16.167.984,2.159.198,7.094.694,17.459.282
Uganda,UGA,2010,5.500.001,18.156.003,4.884.301,16.190.103
Ukraine,UKR,2010,19.059.999,18.847.998,86.624.994,19.036.698
United Arab Emirates,ARE,2010,11.395.992,19.147.987,10.096.194,16.779.388
United Kingdom,GBR,2010,25.095.998,17.447.997,11.765.698,17.179.897
United States,USA,2010,321.48,154.6,1452.42,18.005.001
Upper-middle-income countries,0,2010,16.555.925,22.284.897,7.422.484,18.817.996
Uruguay,URY,2010,2.138.798,16.103.984,94.706.915,17.850.083
Uzbekistan,UZB,2010,12.887.999,22.671.997,71.837.994,18.410.199
Vanuatu,VUT,2010,11.831.325,17.686.992,11.099.967,14.446.575
Venezuela,VEN,2010,19.455.995,14.111.996,9.183.598,16.719.595
Vietnam,VNM,2010,121.399.994,19.687.999,46.367.996,19.480.798
Western Africa (FAO),0,2010,48.16,214.04,505.44,18.283.201
Western Asia (FAO),0,2010,118.52,231.32,841.59,1909.57
Western Europe (FAO),0,2010,290.84,158.48,13.540.499,17.556.301
World,OWID_WRL,2010,13.504.224,19.969.978,692.205,17.714.568
Yemen,YEM,2010,5.252.001,20.108.005,38.214.008,16.102.603
Zambia,ZMB,2010,50.559.982,13.987.996,40.112.985,13.584.294
Zimbabwe,ZWE,2010,12.651.995,12.759.995,69.722.974,12.916.497
Afghanistan,AFG,2011,4.836.001,20.748.003,32.382.004,15.993.401
Africa,0,2011,61.903.755,20.537.285,48.410.126,18.239.745
Africa (FAO),0,2011,61.92,205.36,48.411.002,18.236.099
Albania,ALB,2011,23.399.919,21.171.927,9.455.367,19.047.334
Algeria,DZA,2011,11.291.997,25.583.994,88.667.975,20.945.596
Americas (FAO),0,2011,236.52,159.96,1083.87,17.996.099
Angola,AGO,2011,7.363.997,13.071.994,5.126.398,17.729.994
Antigua and Barbuda,ATG,2011,25.022.519,117.534.256,8.304.281,1.169.294
Argentina,ARG,2011,25.260.002,15.916.002,932.4,1726.8
Armenia,ARM,2011,17.891.975,22.583.969,85.418.884,18.990.471
Asia,0,2011,111.162.224,21.701.402,58.609.357,18.144.233
Asia (FAO),0,2011,111.32,217.24,586.8,18.166.399
Australia,AUS,2011,34.407.996,14.547.998,14.247.898,16.006.498
Austria,AUT,2011,27.835.995,16.815.999,15.952.499,17.932.695
Azerbaijan,AZE,2011,120.399.895,24.739.978,5.775.295,20.246.681
Bahamas,BHS,2011,22.287.648,14.651.768,78.730.756,14.062.577
Bangladesh,BGD,2011,41.840.004,18.716.002,25.308.002,19.359.202
Barbados,BRB,2011,22.115.117,18.607.257,8.435.363,18.011.178
Belarus,BLR,2011,23.431.995,16.839.995,11.295.897,16.206.897
Belgium,BEL,2011,23.743.996,16.215.997,15.362.997,17.970.997
Belize,BLZ,2011,12.587.771,17.835.675,6.655.379,17.552.181
Benin,BEN,2011,6.463.997,2.054.399,45.395.975,1.900.959
Bolivia,BOL,2011,14.524.002,13.864.001,49.626.004,14.758.602
Bosnia and Herzegovina,BIH,2011,13.327.989,26.039.978,7.181.994,19.991.182
Botswana,BWA,2011,14.695.981,15.551.979,68.057.904,14.809.779
Brazil,BRA,2011,233.32,174.64,1045.26,1846.74
Bulgaria,BGR,2011,17.480.005,15.912.004,8.225.102,15.705.703
Burkina Faso,BFA,2011,50.839.996,24.827.997,529.11,17.537.297
Burundi,BDI,2011,9.879.993,1.317.599,113.399.925,11.869.592
Cambodia,KHM,2011,82.559.975,17.627.995,3.027.599,20.763.994
Cameroon,CMR,2011,5.795.997,24.331.989,55.583.966,19.349.191
Canada,CAN,2011,25.111.996,18.951.997,14.014.799,17.538.796
Cape Verde,CPV,2011,11.099.832,18.391.722,5.883.211,16.976.843
Caribbean (FAO),0,2011,117.52,173.48,661.23,1796.77
Central African Republic,CAF,2011,7.847.972,1.383.595,57.977.795,12.053.756
Central America (FAO),0,2011,174.36,166.32,787.68,18.666.401
Central Asia (FAO),0,2011,155.16,204.84,827.64,17.293.999
Chad,TCD,2011,9.440.001,21.400.003,6.255.901,14.039.701
Chile,CHL,2011,20.152.003,18.144.003,6.904.801,18.595.604
China,CHN,2011,17.092.001,269.96,7.236.901,1929.43
China (FAO),0,2011,172.72,267.8,732.42,1919.06
Colombia,COL,2011,15.024.002,12.048.001,74.799.005,17.823.303
Comoros,COM,2011,7.055.884,17.067.719,5.737.406,15.649.843
Congo,COG,2011,7.291.995,99.839.935,3.914.098,13.868.291
Costa Rica,CRI,2011,1.631.201,14.084.009,85.230.054,16.827.412
Cote d'Ivoire,CIV,2011,47.279.987,18.671.996,45.071.988,19.962.793
Croatia,HRV,2011,1.984.401,14.688.007,9.328.504,17.018.307
Cuba,CUB,2011,13.559.998,23.367.993,59.885.986,23.618.193
Cyprus,CYP,2011,221.68,192.56,963.27,1616.49
Czechia,CZE,2011,23.444.002,15.824.002,12.122.102,16.690.701
Democratic Republic of Congo,COD,2011,14.04,112.72,23.661.002,1887.59
Denmark,DNK,2011,2.687.602,1.572.801,11.890.808,17.768.813
Djibouti,DJI,2011,4.807.954,21.827.791,51.623.505,17.273.833
Dominica,DMA,2011,20.626.599,16.123.778,8.190.555,17.856.625
Dominican Republic,DOM,2011,127.439.964,13.543.997,8.377.198,15.573.997
East Timor,TLS,2011,42.799.805,17.219.922,446.218,15.537.329
Eastern Africa (FAO),0,2011,44.4,195.84,374.58,1612.18
Eastern Asia (FAO),0,2011,173.56,256.76,73.439.996,1883.28
Eastern Europe (FAO),0,2011,223.28,189.52,971.91,1886.29
Ecuador,ECU,2011,17.087.996,118.839.966,8.883.898,14.358.898
Egypt,EGY,2011,97.479.996,27.623.996,50.453.995,23.707.397
El Salvador,SLV,2011,113.799.934,17.827.989,5.503.497,17.675.688
Estonia,EST,2011,22.595.917,1.872.393,811.977,19.968.125
Eswatini,SWZ,2011,7.151.942,1.345.589,43.397.647,15.879.271
Ethiopia,ETH,2011,29.639.997,26.231.998,29.150.995,16.445.298
Europe,0,2011,25.487.279,17.857.529,1.163.281,17.903.274
Europe (FAO),0,2011,255.12,178.68,1164.42,17.918.201
European Union (27),0,2011,2.719.099,17.065.869,12.871.891,17.227.439
European Union (27) (FAO),0,2011,271.92,170.64,1287.18,17.222.598
Fiji,FJI,2011,12.140.013,16.868.018,7.114.508,17.344.319
Finland,FIN,2011,2.980.798,1.668.399,11.515.493,15.714.893
France,FRA,2011,312.2,162.6,13.559.401,17.112.596
French Polynesia,PYF,2011,27.467.517,14.631.744,10.566.715,13.872.856
Gabon,GAB,2011,18.699.916,17.327.922,52.460.767,18.641.016
Gambia,GMB,2011,6.583.983,17.527.956,64.700.836,17.478.257
Georgia,GEO,2011,13.131.976,19.227.965,65.339.874,18.479.968
Germany,DEU,2011,279.52,162.44,1342.26,1842.78
Ghana,GHA,2011,64.76,198.04,40.202.997,2231.17
Greece,GRC,2011,259.88,19.380.002,1443.24,16.350.802
Grenada,GRD,2011,16.318.153,14.706.337,6.579.156,13.985.317
Guatemala,GTM,2011,9.575.995,1.662.799,55.349.976,16.684.592
Guinea,GIN,2011,44.919.994,16.675.998,632.97,16.823.499
Guinea-Bissau,GNB,2011,4.203.987,14.515.956,5.327.083,15.140.455
Guyana,GUY,2011,16.503.888,18.267.876,48.347.675,18.107.877
Haiti,HTI,2011,45.879.963,14.851.988,5.037.296,14.458.689
High-income countries,0,2011,26.661.646,16.866.882,12.287.139,1.732.199
Honduras,HND,2011,9.323.989,14.175.983,7.172.092,16.477.881
Hong Kong,HKG,2011,39.639.944,16.743.976,11.406.584,14.264.979
Hungary,HUN,2011,19.564.006,14.852.005,12.023.104,15.085.305
Iceland,ISL,2011,3.865.382,14.075.206,12.595.691,14.949.558
India,IND,2011,46.04,197.04,439.38,1714.54
Indonesia,IDN,2011,71.88,180.12,38.969.998,2013.3
Iran,IRN,2011,111.4,223.68,613.17,19.047.501
Iraq,IRQ,2011,5.513.419,17.795.958,53.681.213,14.610.219
Ireland,IRL,2011,26.459.976,17.591.985,12.374.989,19.489.785
Israel,ISR,2011,292.16,219.76,13.528.801,17.461.998
Italy,ITA,2011,280.76,19.759.999,1474.47,17.151.698
Jamaica,JAM,2011,17.944.006,16.116.006,69.624.023,17.422.007
Japan,JPN,2011,195.24,165.32,77.544.006,1527
Jordan,JOR,2011,125.32,195.68,823.86,1656.14
Kazakhstan,KAZ,2011,229.92,163.52,1164.78,1611.82
Kenya,KEN,2011,7.147.999,17.155.997,40.607.993,15.429.196
Kiribati,KIR,2011,15.873.544,15.349.626,11.196.067,15.786.958
Kuwait,KWT,2011,24.727.945,21.779.953,10.597.477,20.471.656
Kyrgyzstan,KGZ,2011,15.376.003,19.828.003,6.273.901,17.345.703
Land Locked Developing Countries (FAO),0,2011,74.36,214.88,49.536.002,1651.4
Laos,LAO,2011,6.627.999,20.211.996,28.655.997,18.960.398
Latvia,LVA,2011,25.115.952,17.007.967,10.988.978,1.643.857
Least Developed Countries (FAO),0,2011,50.24,190.92,383.94,1734.9
Lebanon,LBN,2011,13.179.997,20.247.997,9.731.698,17.375.497
Lesotho,LSO,2011,6.135.979,2.037.993,295.649,19.511.835
Liberia,LBR,2011,3.824.002,12.216.006,49.788.025,14.576.807
Libya,LBY,2011,1.323.599,20.891.983,9.204.292,18.092.886
Lithuania,LTU,2011,260.2,188.32,915.39,19.030.498
Low Income Food Deficit Countries (FAO),0,2011,52.4,195.92,43.911.002,16.755.701
Low-income countries,0,2011,4.128.028,19.903.963,3.823.762,16.854.493
Lower-middle-income countries,0,2011,6.853.546,19.695.662,48.878.656,17.691.864
Luxembourg,LUX,2011,3.073.218,15.988.094,11.838.668,18.059.106
Macao,MAC,2011,2.894.329,1.592.361,12.280.199,13.982.356
Madagascar,MDG,2011,31.120.005,14.376.001,217.35,17.597.703
Malawi,MWI,2011,2.939.999,21.323.993,3.193.199,20.210.792
Malaysia,MYS,2011,19.887.994,15.975.995,7.802.997,17.250.593
Maldives,MDV,2011,2.911.122,17.171.542,5.009.266,16.391.763
Mali,MLI,2011,9.639.998,23.991.995,54.683.984,18.747.998
Malta,MLT,2011,24.567.593,19.367.679,10.721.522,19.364.382
Mauritania,MRT,2011,131.16,205.16,679.59,18.570.898
Mauritius,MUS,2011,16.800.012,19.596.016,8.177.406,18.093.414
Mexico,MEX,2011,199.32,169.08,846.36,19.372.401
Micronesia (FAO),0,2011,158.76,153.52,1119.78,1578.94
Middle Africa (FAO),0,2011,44.92,145.8,389.43,17.898.501
Moldova,MDA,2011,14.890.503,14.033.025,6.985.089,13.444.929
Mongolia,MNG,2011,20.623.955,14.535.968,87.074.805,13.106.471
Montenegro,MNE,2011,27.971.512,18.727.673,11.211.105,18.238.383
Morocco,MAR,2011,108.519.966,28.467.993,6.008.399,23.229.592
Mozambique,MOZ,2011,27.239.996,16.227.997,36.368.994,18.177.896
